Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,ProdTaken
58.0,Self Enquiry,1.0,7.0,Small Business,Male,3.0,4.0,Deluxe,3.0,Divorced,4.0,0.0,3.0,1.0,2.0,Manager,25433.0,0
32.0,Self Enquiry,3.0,20.0,Small Business,Male,3.0,4.0,Deluxe,5.0,Married,4.0,0.0,1.0,0.0,2.0,Manager,22911.0,1
39.0,Company Invited,3.0,9.0,Salaried,Male,3.0,5.0,Deluxe,3.0,Married,5.0,0.0,5.0,1.0,2.0,Manager,23927.0,0
49.0,Self Enquiry,1.0,6.0,Salaried,Male,2.0,3.0,Super Deluxe,3.0,Single,5.0,0.0,3.0,1.0,0.0,AVP,30379.0,0
39.0,Self Enquiry,3.0,7.0,Salaried,Male,3.0,5.0,Basic,5.0,Unmarried,6.0,0.0,3.0,0.0,2.0,Executive,21536.0,0
34.0,Company Invited,3.0,10.0,Small Business,Female,3.0,3.0,Deluxe,3.0,Married,1.0,0.0,1.0,0.0,0.0,Manager,21538.0,0
45.0,Self Enquiry,3.0,35.0,Small Business,Female,3.0,2.0,Super Deluxe,3.0,Divorced,5.0,1.0,2.0,1.0,2.0,AVP,31998.0,1
58.0,Company Invited,3.0,8.0,Small Business,Male,2.0,3.0,Super Deluxe,4.0,Married,5.0,0.0,4.0,1.0,0.0,AVP,17705.0,0
42.0,Self Enquiry,1.0,30.0,Small Business,Male,2.0,3.0,Standard,5.0,Married,2.0,1.0,1.0,1.0,0.0,Senior Manager,22406.0,1
34.0,Company Invited,1.0,12.0,Salaried,Female,4.0,4.0,Standard,4.0,Divorced,8.0,0.0,3.0,1.0,3.0,Senior Manager,30556.0,0
43.0,Self Enquiry,3.0,15.0,Small Business,Female,2.0,5.0,Deluxe,3.0,Single,1.0,0.0,1.0,0.0,0.0,Manager,20346.0,1
41.0,Self Enquiry,1.0,26.0,Small Business,Male,3.0,4.0,Deluxe,3.0,Divorced,2.0,1.0,2.0,1.0,2.0,Manager,21419.0,1
46.0,Company Invited,3.0,11.0,Small Business,Male,3.0,3.0,Deluxe,3.0,Single,5.0,1.0,5.0,1.0,1.0,Manager,20772.0,1
41.0,Self Enquiry,1.0,11.0,Small Business,Male,2.0,1.0,Basic,3.0,Divorced,3.0,1.0,1.0,1.0,1.0,Executive,17127.0,0
41.0,Self Enquiry,1.0,15.0,Salaried,Female,4.0,4.0,Deluxe,5.0,Married,4.0,1.0,1.0,0.0,1.0,Manager,25194.0,1
37.0,Self Enquiry,2.0,15.0,Salaried,Male,4.0,5.0,Basic,5.0,Married,2.0,0.0,1.0,0.0,2.0,Executive,21020.0,0
60.0,Company Invited,1.0,21.0,Salaried,Female,3.0,4.0,Standard,3.0,Single,2.0,1.0,5.0,1.0,1.0,Senior Manager,29190.0,0
38.0,Self Enquiry,2.0,13.0,Salaried,Male,4.0,4.0,Basic,5.0,Married,6.0,1.0,1.0,0.0,3.0,Executive,20751.0,1
53.0,Self Enquiry,1.0,13.0,Salaried,Male,2.0,2.0,Super Deluxe,3.0,Divorced,4.0,0.0,2.0,0.0,0.0,AVP,29814.0,0
35.0,Self Enquiry,3.0,23.0,Salaried,Male,3.0,3.0,Deluxe,5.0,Divorced,4.0,1.0,3.0,1.0,1.0,Manager,23966.0,1
41.0,Company Invited,1.0,7.0,Salaried,Male,4.0,5.0,Super Deluxe,4.0,Married,3.0,0.0,1.0,1.0,2.0,AVP,32181.0,0
28.0,Self Enquiry,1.0,35.0,Salaried,Male,3.0,5.0,Deluxe,4.0,Divorced,2.0,0.0,1.0,1.0,2.0,Manager,21549.0,0
52.0,Company Invited,1.0,15.0,Salaried,Male,3.0,6.0,Standard,3.0,Single,4.0,0.0,1.0,1.0,1.0,Senior Manager,29328.0,1
31.0,Self Enquiry,3.0,19.0,Large Business,Fe Male,3.0,4.0,Deluxe,3.0,Unmarried,2.0,0.0,1.0,1.0,2.0,Manager,25255.0,0
